"alpha","mean","lower","upper","theta_hat","beta_hat","seed"
0.05,-117.451476894544,-214.138905580347,-20.7640482087404,0,0,1
0.05,140.613204446846,33.5978055095056,247.628603384185,36.6922708878633,33.1119526127112,1
0.05,-78.4404216352098,-148.277337820282,-8.6035054501375,0,0,1
0.15,-36.8044471025708,-77.3822194167861,3.77332521164443,0,0,1
0.15,58.6656506861567,17.6005288627308,99.7307725095827,32.5913321386414,0.0707571142198921,1
0.15,-27.6474304141894,-60.4254755292788,5.1306147009,0,-0.00575126841895046,1
0.1,-58.3289722888138,-112.521135797472,-4.13680878015571,0,0,1
0.1,85.1049424458237,27.3995622898572,142.81032260179,37.5104732623496,11.9056859224321,1
0.1,-42.2234180854595,-86.7774975301895,2.33066135927041,0,0,1
0.25,-18.8979060260814,-48.5673952023277,10.771583150165,0,0,1
0.25,39.6209689540433,12.670166527795,66.5717713802916,24.6955214099387,0.0598904346604565,1
0.25,-17.1979937569738,-42.9248149520731,8.52882743812555,0,-0.00623560752397003,1
0.2,-30.019780509204,-66.2439246022781,6.20436358387013,0,0,1
0.2,45.0001463192851,13.2793237164039,76.7209689221662,23.0433689193977,0.0479376171012548,1
0.2,-23.8704701278403,-54.0757689416377,6.33482868595707,0,-0.00286228775796958,1
0.3,-14.5355740883332,-41.2063020214144,12.135153844748,0,0,1
0.3,35.8018313333675,11.8710223364662,59.7326403302688,22.5828285063006,0.0432870668865748,1
0.3,-14.2607994698301,-36.4547004200113,7.93310148035116,0,-0.00516682584069076,1
