"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step",0.05,10000,1000,100,10,0.119029952186848,0.0580311222438003,1,0.0434343434343434
"two-step+refitted",0.05,10000,1000,100,10,0.103029755722474,0.251866231934328,1,0.0434343434343434
"two-step oracle",0.05,10000,1000,100,10,0.105672108890495,0,NA,NA
"two-step",0.05,10000,1000,101,10,0.067026484970729,0.0449728528233318,1,0.0292929292929293
"two-step+refitted",0.05,10000,1000,101,10,0.0634453127201718,0.194960064011459,1,0.0292929292929293
"two-step oracle",0.05,10000,1000,101,10,0.0608920473525266,0,NA,NA
"two-step",0.05,10000,1000,102,10,0.088817715933568,0.00897355156515803,1,0.00202020202020202
"two-step+refitted",0.05,10000,1000,102,10,0.0600544107037106,0.0633510664807681,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,102,10,0.0559229550113897,0,NA,NA
"two-step",0.05,10000,1000,103,10,0.0526441787675348,0.0259379280990797,1,0.0212121212121212
"two-step+refitted",0.05,10000,1000,103,10,0.0577845592666894,0.144195725522134,1,0.0212121212121212
"two-step oracle",0.05,10000,1000,103,10,0.0572450215679451,0,NA,NA
"two-step",0.05,10000,1000,104,10,0.0912531121821549,0.0254164039818614,1,0.0141414141414141
"two-step+refitted",0.05,10000,1000,104,10,0.0740984692868743,0.148175243934861,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,104,10,0.0776271656927379,0,NA,NA
"two-step",0.05,10000,1000,105,10,0.0830722528716031,0.00408323352319961,1,0.00202020202020202
"two-step+refitted",0.05,10000,1000,105,10,0.0722375418193985,0.0545118701475265,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,105,10,0.0768054817076449,0,NA,NA
"two-step",0.05,10000,1000,106,10,0.0907697914043463,0.0573600059633245,1,0.0414141414141414
"two-step+refitted",0.05,10000,1000,106,10,0.0820767931753974,0.2265253869692,1,0.0414141414141414
"two-step oracle",0.05,10000,1000,106,10,0.0764129858679531,0,NA,NA
"two-step",0.05,10000,1000,107,10,0.0932950981371815,0.0205049270756388,1,0.0101010101010101
"two-step+refitted",0.05,10000,1000,107,10,0.0789934359229948,0.139892595912869,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,107,10,0.0846908676931054,0,NA,NA
"two-step",0.05,10000,1000,108,10,0.0758263635862338,0.0208610243792403,1,0.0111111111111111
"two-step+refitted",0.05,10000,1000,108,10,0.0733895765593545,0.130375396937288,1,0.0111111111111111
"two-step oracle",0.05,10000,1000,108,10,0.0783092917372544,0,NA,NA
"two-step",0.05,10000,1000,109,10,0.0846762188651492,0.0156437719940828,1,0.00606060606060606
"two-step+refitted",0.05,10000,1000,109,10,0.0691822707514424,0.105044724654117,1,0.00606060606060606
"two-step oracle",0.05,10000,1000,109,10,0.076772144792405,0,NA,NA
"two-step",0.05,10000,1000,10,10,0.114977597224326,0.01634945214319,1,0.00404040404040404
"two-step+refitted",0.05,10000,1000,10,10,0.100916462728365,0.098482798134791,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,10,10,0.114056731050794,0,NA,NA
"two-step",0.05,10000,1000,110,10,0.072559186650496,0.0211558648222884,1,0.00808080808080808
"two-step+refitted",0.05,10000,1000,110,10,0.070120698772197,0.119393915467322,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,110,10,0.077102578588515,0,NA,NA
"two-step",0.05,10000,1000,111,10,0.108903542012751,0.0428056176168637,1,0.0272727272727273
"two-step+refitted",0.05,10000,1000,111,10,0.0969626425686477,0.190172414176542,1,0.0272727272727273
"two-step oracle",0.05,10000,1000,111,10,0.120950814176081,0,NA,NA
"two-step",0.05,10000,1000,112,10,0.0647402815496599,0.0347313842071311,1,0.0303030303030303
"two-step+refitted",0.05,10000,1000,112,10,0.0589737638022542,0.176287857304537,1,0.0303030303030303
"two-step oracle",0.05,10000,1000,112,10,0.0668972377781055,0,NA,NA
"two-step",0.05,10000,1000,113,10,0.0626312956354936,0.0218865496126382,1,0.0111111111111111
"two-step+refitted",0.05,10000,1000,113,10,0.0548370613771958,0.132276456250501,1,0.0111111111111111
"two-step oracle",0.05,10000,1000,113,10,0.0528241797913177,0,NA,NA
"two-step",0.05,10000,1000,114,10,0.0934095460489327,0.00597229989399465,1,0.00404040404040404
"two-step+refitted",0.05,10000,1000,114,10,0.0727717854101245,0.0865759830448107,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,114,10,0.0653159622102069,0,NA,NA
"two-step",0.05,10000,1000,115,10,0.0968628123643797,0.0402408465628591,1,0.0303030303030303
"two-step+refitted",0.05,10000,1000,115,10,0.0772518632509665,0.18794537127093,1,0.0303030303030303
"two-step oracle",0.05,10000,1000,115,10,0.0750191951790428,0,NA,NA
"two-step",0.05,10000,1000,116,10,0.102510370708012,0.0171543514971988,1,0.0101010101010101
"two-step+refitted",0.05,10000,1000,116,10,0.0726738608188645,0.141766997156449,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,116,10,0.0830514161137764,0,NA,NA
"two-step",0.05,10000,1000,117,10,0.0989627607737551,0.00747218967602255,1,0.00606060606060606
"two-step+refitted",0.05,10000,1000,117,10,0.0902824441965895,0.0933045410738174,1,0.00606060606060606
"two-step oracle",0.05,10000,1000,117,10,0.0899846347897814,0,NA,NA
"two-step",0.05,10000,1000,118,10,0.0999098675634647,0.0327101849870014,1,0.0111111111111111
"two-step+refitted",0.05,10000,1000,118,10,0.0753032122352638,0.143124283738204,1,0.0111111111111111
"two-step oracle",0.05,10000,1000,118,10,0.0705636174469663,0,NA,NA
"two-step",0.05,10000,1000,119,10,0.091899377899391,0.047440759760973,1,0.0242424242424242
"two-step+refitted",0.05,10000,1000,119,10,0.0861672459941612,0.198441521950235,1,0.0242424242424242
"two-step oracle",0.05,10000,1000,119,10,0.0931158551713844,0,NA,NA
"two-step",0.05,10000,1000,11,10,0.101527619098397,0.00519349088390158,1,0.00202020202020202
"two-step+refitted",0.05,10000,1000,11,10,0.0871724169706522,0.0629922548949673,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,11,10,0.0962847196585656,0,NA,NA
"two-step",0.05,10000,1000,120,10,0.131143136608713,0.0277571690242966,1,0.0141414141414141
"two-step+refitted",0.05,10000,1000,120,10,0.130422267819673,0.145694801419153,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,120,10,0.126685201514372,0,NA,NA
"two-step",0.05,10000,1000,121,10,0.0718545113024695,0.0419829098429068,1,0.0252525252525253
"two-step+refitted",0.05,10000,1000,121,10,0.0637548840834102,0.17002494724326,1,0.0252525252525253
"two-step oracle",0.05,10000,1000,121,10,0.0622211111983754,0,NA,NA
"two-step",0.05,10000,1000,122,10,0.0821230704762688,0.0452886325568863,1,0.0313131313131313
"two-step+refitted",0.05,10000,1000,122,10,0.0746396667030578,0.205124009288355,1,0.0313131313131313
"two-step oracle",0.05,10000,1000,122,10,0.0774852975894341,0,NA,NA
"two-step",0.05,10000,1000,123,10,0.0829407138855181,0.0330420912479345,1,0.0151515151515152
"two-step+refitted",0.05,10000,1000,123,10,0.0772161547131263,0.167509807415325,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,123,10,0.0762065158521748,0,NA,NA
"two-step",0.05,10000,1000,124,10,0.0685339396517684,0.0321337916663664,1,0.0131313131313131
"two-step+refitted",0.05,10000,1000,124,10,0.0573615734027331,0.143982616395373,1,0.0131313131313131
"two-step oracle",0.05,10000,1000,124,10,0.0560546880283868,0,NA,NA
"two-step",0.05,10000,1000,125,10,0.0691917931502743,0.0294368284860133,1,0.0191919191919192
"two-step+refitted",0.05,10000,1000,125,10,0.0555907964858952,0.168834412990347,1,0.0191919191919192
"two-step oracle",0.05,10000,1000,125,10,0.0701451636137841,0,NA,NA
"two-step",0.05,10000,1000,126,10,0.0922392941748288,0.0598590330037966,1,0.0383838383838384
"two-step+refitted",0.05,10000,1000,126,10,0.0790314617478475,0.238458342625999,1,0.0383838383838384
"two-step oracle",0.05,10000,1000,126,10,0.0699817213866011,0,NA,NA
"two-step",0.05,10000,1000,127,10,0.0863178932231903,0.022218327252176,1,0.0101010101010101
"two-step+refitted",0.05,10000,1000,127,10,0.0707635876107565,0.118964030177994,1,0.0101010101010101
