"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step",0.05,10000,1000,100,10,0.114961997903027,0.0732556452403279,1,0.0787878787878788
"two-step+refitted",0.05,10000,1000,100,10,0.0510943667161989,0.298703963110636,1,0.0787878787878788
"two-step oracle",0.05,10000,1000,100,10,0.0573531979131947,0,NA,NA
"two-step",0.05,10000,1000,101,10,0.0806965277737779,0.0318239485738092,1,0.0313131313131313
"two-step+refitted",0.05,10000,1000,101,10,0.0361060371795315,0.175879464526717,1,0.0313131313131313
"two-step oracle",0.05,10000,1000,101,10,0.0403829918765562,0,NA,NA
"two-step",0.05,10000,1000,102,10,0.103089612159061,0.0634491198982987,1,0.0696969696969697
"two-step+refitted",0.05,10000,1000,102,10,0.0469437812658962,0.262880605703043,1,0.0696969696969697
"two-step oracle",0.05,10000,1000,102,10,0.0479012029689552,0,NA,NA
"two-step",0.05,10000,1000,103,10,0.0923746418741109,0.0212858033432881,1,0.0222222222222222
"two-step+refitted",0.05,10000,1000,103,10,0.0435255587751314,0.147906577194889,1,0.0222222222222222
"two-step oracle",0.05,10000,1000,103,10,0.0398730111477839,0,NA,NA
"two-step",0.05,10000,1000,104,10,0.135647396369982,0.061349853348804,1,0.0585858585858586
"two-step+refitted",0.05,10000,1000,104,10,0.0815116683547437,0.246508221834552,1,0.0585858585858586
"two-step oracle",0.05,10000,1000,104,10,0.0867475531824101,0,NA,NA
"two-step",0.05,10000,1000,105,10,0.100727375218631,0.0346476476885216,1,0.0202020202020202
"two-step+refitted",0.05,10000,1000,105,10,0.0624954278021649,0.157562651366937,1,0.0202020202020202
"two-step oracle",0.05,10000,1000,105,10,0.0572366606110049,0,NA,NA
"two-step",0.05,10000,1000,106,10,0.108886626400923,0.0210511604755544,1,0.0202020202020202
"two-step+refitted",0.05,10000,1000,106,10,0.0685089961543015,0.160882519584159,1,0.0202020202020202
"two-step oracle",0.05,10000,1000,106,10,0.0648483155926048,0,NA,NA
"two-step",0.05,10000,1000,107,10,0.090965081018036,0.0700583487739859,1,0.0606060606060606
"two-step+refitted",0.05,10000,1000,107,10,0.0494931913253328,0.273120721785879,1,0.0606060606060606
"two-step oracle",0.05,10000,1000,107,10,0.053330980237844,0,NA,NA
"two-step",0.05,10000,1000,108,10,0.0896856259606881,0.0506311620333985,1,0.0404040404040404
"two-step+refitted",0.05,10000,1000,108,10,0.0395690118859193,0.208872401832542,1,0.0404040404040404
"two-step oracle",0.05,10000,1000,108,10,0.0416598150593252,0,NA,NA
"two-step",0.05,10000,1000,109,10,0.106247633171624,0.0684553889445305,1,0.0828282828282828
"two-step+refitted",0.05,10000,1000,109,10,0.0590199942239639,0.259978022752613,1,0.0828282828282828
"two-step oracle",0.05,10000,1000,109,10,0.0483097712963911,0,NA,NA
"two-step",0.05,10000,1000,10,10,0.113480449958064,0.0354201850424464,1,0.0333333333333333
"two-step+refitted",0.05,10000,1000,10,10,0.0457320732917567,0.205077556368353,1,0.0333333333333333
"two-step oracle",0.05,10000,1000,10,10,0.0556153732027337,0,NA,NA
"two-step",0.05,10000,1000,110,10,0.105766330227813,0.0388722695806739,1,0.0262626262626263
"two-step+refitted",0.05,10000,1000,110,10,0.0368638277331453,0.180828780762377,1,0.0262626262626263
"two-step oracle",0.05,10000,1000,110,10,0.0352920668606287,0,NA,NA
"two-step",0.05,10000,1000,111,10,0.133479306262386,0.0406751773101237,1,0.0303030303030303
"two-step+refitted",0.05,10000,1000,111,10,0.069465181298929,0.205571782167393,1,0.0303030303030303
"two-step oracle",0.05,10000,1000,111,10,0.0798464064500675,0,NA,NA
"two-step",0.05,10000,1000,112,10,0.110406999657152,0.0409195429528997,1,0.0333333333333333
