"Method","alpha","n","p","seed","s","est_error","TPR","FPR"
"two-step",0.05,10000,1000,100,10,0.157063788820392,1,0.0333333333333333
"two-step+Adaptive Lasso",0.05,10000,1000,100,10,0.431514523214332,1,0.0313131313131313
"two-step oracle",0.05,10000,1000,100,10,0.0140345569749706,NA,NA
"glmnet",0.05,10000,1000,100,10,0.0309509026351894,1,0
"two-step",0.05,10000,1000,101,10,0.109935352804871,1,0.00707070707070707
"two-step+Adaptive Lasso",0.05,10000,1000,101,10,0.281215882368206,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,101,10,0.0110601977627451,NA,NA
"glmnet",0.05,10000,1000,101,10,0.0284816763221247,1,0
"two-step",0.05,10000,1000,102,10,0.154647598658784,1,0.0151515151515152
"two-step+Adaptive Lasso",0.05,10000,1000,102,10,0.335916232565639,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,102,10,0.0130500473131829,NA,NA
"glmnet",0.05,10000,1000,102,10,0.033639402544522,1,0
"two-step",0.05,10000,1000,103,10,0.170841108382444,1,0.0131313131313131
"two-step+Adaptive Lasso",0.05,10000,1000,103,10,0.359006741297282,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,103,10,0.0124217293076091,NA,NA
"glmnet",0.05,10000,1000,103,10,0.0292568052838802,1,0
"two-step",0.05,10000,1000,104,10,0.192456750065217,1,0.0202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,104,10,0.408277741752773,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,104,10,0.00857975986690005,NA,NA
"glmnet",0.05,10000,1000,104,10,0.021442494445659,1,0
"two-step",0.05,10000,1000,105,10,0.131888347536843,1,0.0191919191919192
"two-step+Adaptive Lasso",0.05,10000,1000,105,10,0.377230672224269,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,105,10,0.0120993435079882,NA,NA
"glmnet",0.05,10000,1000,105,10,0.0350033623516128,1,0
"two-step",0.05,10000,1000,108,10,0.142338204263885,1,0.00606060606060606
"two-step+Adaptive Lasso",0.05,10000,1000,108,10,0.202250497931803,1,0
"two-step oracle",0.05,10000,1000,108,10,0.0127928394704847,NA,NA
"glmnet",0.05,10000,1000,108,10,0.024758795648365,1,0
"two-step",0.05,10000,1000,10,10,0.112810723938413,1,0.0262626262626263
"two-step+Adaptive Lasso",0.05,10000,1000,10,10,0.37089579743993,1,0.0232323232323232
"two-step oracle",0.05,10000,1000,10,10,0.0147895505918243,NA,NA
"glmnet",0.05,10000,1000,10,10,0.032985529745134,1,0
"two-step",0.05,10000,1000,114,10,0.19402844226255,1,0.0313131313131313
"two-step+Adaptive Lasso",0.05,10000,1000,114,10,0.456661355996813,1,0.0303030303030303
"two-step oracle",0.05,10000,1000,114,10,0.0149415924247587,NA,NA
"glmnet",0.05,10000,1000,114,10,0.0270616328482844,1,0
"two-step",0.05,10000,1000,119,10,0.154556968299363,1,0.0141414141414141
"two-step+Adaptive Lasso",0.05,10000,1000,119,10,0.351410029947971,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,119,10,0.0132751041846976,NA,NA
"glmnet",0.05,10000,1000,119,10,0.027446696237951,1,0
"two-step",0.05,10000,1000,11,10,0.159983808857292,1,0.00606060606060606
"two-step+Adaptive Lasso",0.05,10000,1000,11,10,0.273531137246687,1,0.00505050505050505
"two-step oracle",0.05,10000,1000,11,10,0.00578321414598525,NA,NA
"glmnet",0.05,10000,1000,11,10,0.0283904482307361,1,0
"two-step",0.05,10000,1000,121,10,0.12834267275986,1,0.00606060606060606
"two-step+Adaptive Lasso",0.05,10000,1000,121,10,0.163499479464668,1,0
"two-step oracle",0.05,10000,1000,121,10,0.0133722780027997,NA,NA
"glmnet",0.05,10000,1000,121,10,0.0309995192452975,1,0
"two-step",0.05,10000,1000,122,10,0.208762528257584,1,0.0111111111111111
"two-step+Adaptive Lasso",0.05,10000,1000,122,10,0.304152023504671,1,0.0111111111111111
"two-step oracle",0.05,10000,1000,122,10,0.0142287840408218,NA,NA
"glmnet",0.05,10000,1000,122,10,0.034867470934163,1,0
"two-step",0.05,10000,1000,124,10,0.12269374627224,1,0.00505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,124,10,0.18990309922064,1,0
"two-step oracle",0.05,10000,1000,124,10,0.0181942365303491,NA,NA
"glmnet",0.05,10000,1000,124,10,0.0309535909938596,1,0
"two-step",0.05,10000,1000,125,10,0.107294995562354,1,0.0101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,125,10,0.299522748324914,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,125,10,0.0178090321076023,NA,NA
"glmnet",0.05,10000,1000,125,10,0.0289015692678462,1,0
"two-step",0.05,10000,1000,126,10,0.144842626944927,1,0.0111111111111111
"two-step+Adaptive Lasso",0.05,10000,1000,126,10,0.311504139458469,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,126,10,0.0133979717854631,NA,NA
"glmnet",0.05,10000,1000,126,10,0.0277291994300226,1,0
"two-step",0.05,10000,1000,127,10,0.129446563210277,1,0.0181818181818182
"two-step+Adaptive Lasso",0.05,10000,1000,127,10,0.356050357616039,1,0.0171717171717172
"two-step oracle",0.05,10000,1000,127,10,0.00990193899742883,NA,NA
"glmnet",0.05,10000,1000,127,10,0.0262964321149116,1,0
"two-step",0.05,10000,1000,129,10,0.122030882770522,1,0.00606060606060606
"two-step+Adaptive Lasso",0.05,10000,1000,129,10,0.256957632871986,1,0.00505050505050505
"two-step oracle",0.05,10000,1000,129,10,0.0117831680190995,NA,NA
"glmnet",0.05,10000,1000,129,10,0.0172326092069087,1,0
"two-step",0.05,10000,1000,12,10,0.211491045143751,1,0.0373737373737374
"two-step+Adaptive Lasso",0.05,10000,1000,12,10,0.47474237156609,1,0.0323232323232323
"two-step oracle",0.05,10000,1000,12,10,0.01197856596627,NA,NA
"glmnet",0.05,10000,1000,12,10,0.0267431286495887,1,0
"two-step",0.05,10000,1000,130,10,0.171454026543477,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,130,10,0.233713027127946,1,0
"two-step oracle",0.05,10000,1000,130,10,0.0146294427166798,NA,NA
"glmnet",0.05,10000,1000,130,10,0.0321248551424226,1,0
"two-step",0.05,10000,1000,133,10,0.170695588074625,1,0.00101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,133,10,0.239970753375566,1,0
"two-step oracle",0.05,10000,1000,133,10,0.0100383749928949,NA,NA
"glmnet",0.05,10000,1000,133,10,0.0180674473453701,1,0
"two-step",0.05,10000,1000,136,10,0.186701275315103,1,0.0121212121212121
"two-step+Adaptive Lasso",0.05,10000,1000,136,10,0.325676632094191,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,136,10,0.0204155528231821,NA,NA
"glmnet",0.05,10000,1000,136,10,0.0260926179486092,1,0
"two-step",0.05,10000,1000,138,10,0.102849782048817,1,0.00707070707070707
"two-step+Adaptive Lasso",0.05,10000,1000,138,10,0.165303839117249,1,0
"two-step oracle",0.05,10000,1000,138,10,0.0163888550427932,NA,NA
