"Method","alpha","n","p","seed","s","est_error","TPR","FPR"
"two-step",0.05,10000,1000,100,10,0.0982010498481727,1,0.0404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,100,10,0.383368569388205,1,0.0363636363636364
"two-step oracle",0.05,10000,1000,100,10,0.00911142896836357,NA,NA
"glmnet",0.05,10000,1000,100,10,0.0538008117611343,1,0
"two-step",0.05,10000,1000,101,10,0.109396009868254,1,0.0212121212121212
"two-step+Adaptive Lasso",0.05,10000,1000,101,10,0.404422798685311,1,0.0202020202020202
"two-step oracle",0.05,10000,1000,101,10,0.00782374034614555,NA,NA
"glmnet",0.05,10000,1000,101,10,0.0411964270700891,1,0
"two-step",0.05,10000,1000,102,10,0.0698837348944182,1,0.0292929292929293
"two-step+Adaptive Lasso",0.05,10000,1000,102,10,0.339226960364193,1,0.0282828282828283
"two-step oracle",0.05,10000,1000,102,10,0.00759063588535419,NA,NA
"glmnet",0.05,10000,1000,102,10,0.0490784648249742,1,0
"two-step",0.05,10000,1000,103,10,0.119397659255261,1,0.0353535353535354
"two-step+Adaptive Lasso",0.05,10000,1000,103,10,0.40972685780139,1,0.0343434343434343
"two-step oracle",0.05,10000,1000,103,10,0.00776869955340204,NA,NA
"glmnet",0.05,10000,1000,103,10,0.0476526041641283,1,0
"two-step",0.05,10000,1000,104,10,0.0730368791572909,1,0.00909090909090909
"two-step+Adaptive Lasso",0.05,10000,1000,104,10,0.277659312171599,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,104,10,0.00793933679132082,NA,NA
"glmnet",0.05,10000,1000,104,10,0.0443503186090074,1,0
"two-step",0.05,10000,1000,105,10,0.0637545983424451,1,0.0252525252525253
"two-step+Adaptive Lasso",0.05,10000,1000,105,10,0.335168578255249,1,0.0232323232323232
"two-step oracle",0.05,10000,1000,105,10,0.00816140889603501,NA,NA
"glmnet",0.05,10000,1000,105,10,0.0489487337138392,1,0
"two-step",0.05,10000,1000,106,10,0.0426200512250745,1,0.00303030303030303
"two-step+Adaptive Lasso",0.05,10000,1000,106,10,0.175032408394433,1,0
"two-step oracle",0.05,10000,1000,106,10,0.0104093266267374,NA,NA
"glmnet",0.05,10000,1000,106,10,0.0457296858665964,1,0
"two-step",0.05,10000,1000,107,10,0.0768945018740092,1,0.00202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,107,10,0.195915792300819,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,107,10,0.00729422862314486,NA,NA
"glmnet",0.05,10000,1000,107,10,0.0486614144558582,1,0
"two-step",0.05,10000,1000,109,10,0.0479854018301348,1,0.00909090909090909
"two-step+Adaptive Lasso",0.05,10000,1000,109,10,0.101654803386704,1,0
"two-step oracle",0.05,10000,1000,109,10,0.00729953705649463,NA,NA
"glmnet",0.05,10000,1000,109,10,0.0428857590323069,1,0
"two-step",0.05,10000,1000,10,10,0.05820320267539,1,0.0242424242424242
"two-step+Adaptive Lasso",0.05,10000,1000,10,10,0.296230236564934,1,0.0242424242424242
"two-step oracle",0.05,10000,1000,10,10,0.00891834222824514,NA,NA
"glmnet",0.05,10000,1000,10,10,0.0512412156984508,1,0
"two-step",0.05,10000,1000,110,10,0.0749519348242629,1,0.00909090909090909
"two-step+Adaptive Lasso",0.05,10000,1000,110,10,0.25920531583271,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,110,10,0.0118708651138187,NA,NA
"glmnet",0.05,10000,1000,110,10,0.0480373024379446,1,0
"two-step",0.05,10000,1000,111,10,0.0726467433133043,1,0.0323232323232323
"two-step+Adaptive Lasso",0.05,10000,1000,111,10,0.322953230748714,1,0.0303030303030303
"two-step oracle",0.05,10000,1000,111,10,0.00824908402608825,NA,NA
"glmnet",0.05,10000,1000,111,10,0.0439976608926229,1,0
"two-step",0.05,10000,1000,112,10,0.0745565538964908,1,0.0171717171717172
"two-step+Adaptive Lasso",0.05,10000,1000,112,10,0.302082591911177,1,0.0171717171717172
"two-step oracle",0.05,10000,1000,112,10,0.010183296438997,NA,NA
"glmnet",0.05,10000,1000,112,10,0.0531943560492268,1,0
"two-step",0.05,10000,1000,113,10,0.0676725968877037,1,0.0202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,113,10,0.331449093503773,1,0.0191919191919192
"two-step oracle",0.05,10000,1000,113,10,0.00775037561600813,NA,NA
"glmnet",0.05,10000,1000,113,10,0.0472170655455549,1,0
"two-step",0.05,10000,1000,114,10,0.0565304893808205,1,0.0202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,114,10,0.284113374492177,1,0.0191919191919192
