"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step(bic)",0.05,10000,1000,100,10,0.135202811722567,0,1,0
"two-step+refitted",0.05,10000,1000,100,10,0.0935369311561494,0,1,0
"two-step oracle",0.05,10000,1000,100,10,0.111707739902792,0,NA,NA
"two-step(bic)",0.05,10000,1000,101,10,0.0845571088749074,0,1,0
"two-step+refitted",0.05,10000,1000,101,10,0.0601299193972859,0,1,0
"two-step oracle",0.05,10000,1000,101,10,0.0608722725281936,0,NA,NA
"two-step(bic)",0.05,10000,1000,102,10,0.0919089367938591,0.00476592635256392,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,102,10,0.0586556561225607,0.0485180277757953,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,102,10,0.0588678435135168,0,NA,NA
"two-step(bic)",0.05,10000,1000,103,10,0.0577703785542564,0,1,0
"two-step+refitted",0.05,10000,1000,103,10,0.0586271062646356,0,1,0
"two-step oracle",0.05,10000,1000,103,10,0.0647030336666211,0,NA,NA
"two-step(bic)",0.05,10000,1000,104,10,0.103808670949363,0,1,0
"two-step+refitted",0.05,10000,1000,104,10,0.0755045036494795,0,1,0
"two-step oracle",0.05,10000,1000,104,10,0.0778039740912499,0,NA,NA
"two-step(bic)",0.05,10000,1000,105,10,0.0868820605459955,0,1,0
"two-step+refitted",0.05,10000,1000,105,10,0.0711791778784687,0,1,0
"two-step oracle",0.05,10000,1000,105,10,0.0768552864229654,0,NA,NA
"two-step(bic)",0.05,10000,1000,106,10,0.104598025217894,0,1,0
"two-step+refitted",0.05,10000,1000,106,10,0.0756407697527131,0,1,0
"two-step oracle",0.05,10000,1000,106,10,0.0754898513598535,0,NA,NA
"two-step(bic)",0.05,10000,1000,107,10,0.0992973118041294,0,1,0
"two-step+refitted",0.05,10000,1000,107,10,0.0776338342648946,0,1,0
"two-step oracle",0.05,10000,1000,107,10,0.0848982255152161,0,NA,NA
"two-step(bic)",0.05,10000,1000,108,10,0.0802877501602466,0,1,0
"two-step+refitted",0.05,10000,1000,108,10,0.072226655029705,0,1,0
"two-step oracle",0.05,10000,1000,108,10,0.0818151301629908,0,NA,NA
"two-step(bic)",0.05,10000,1000,109,10,0.0883640124007029,0,1,0
"two-step+refitted",0.05,10000,1000,109,10,0.0695794346342012,0,1,0
"two-step oracle",0.05,10000,1000,109,10,0.0771239005010952,0,NA,NA
"two-step(bic)",0.05,10000,1000,10,10,0.124512185995801,0,1,0
"two-step+refitted",0.05,10000,1000,10,10,0.0993665680425991,0,1,0
"two-step oracle",0.05,10000,1000,10,10,0.11492431171447,0,NA,NA
"two-step(bic)",0.05,10000,1000,110,10,0.0803965098819442,0,1,0
"two-step+refitted",0.05,10000,1000,110,10,0.0666525044984853,0,1,0
"two-step oracle",0.05,10000,1000,110,10,0.0794703481230644,0,NA,NA
"two-step(bic)",0.05,10000,1000,111,10,0.12215517461356,0,1,0
"two-step+refitted",0.05,10000,1000,111,10,0.0973640680934225,0,1,0
"two-step oracle",0.05,10000,1000,111,10,0.120748238028058,0,NA,NA
"two-step(bic)",0.05,10000,1000,112,10,0.0736483028049335,0,1,0
"two-step+refitted",0.05,10000,1000,112,10,0.0615325578173797,0,1,0
"two-step oracle",0.05,10000,1000,112,10,0.0684811940994263,0,NA,NA
"two-step(bic)",0.05,10000,1000,113,10,0.0726058495289465,0,1,0
"two-step+refitted",0.05,10000,1000,113,10,0.0478612109918745,0,1,0
"two-step oracle",0.05,10000,1000,113,10,0.0528500966835943,0,NA,NA
"two-step(bic)",0.05,10000,1000,114,10,0.0994955886260389,0,1,0
"two-step+refitted",0.05,10000,1000,114,10,0.074244602924019,0,1,0
"two-step oracle",0.05,10000,1000,114,10,0.0671565101548703,0,NA,NA
"two-step(bic)",0.05,10000,1000,115,10,0.10340666042128,0.0117414127646119,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,115,10,0.0774669627048696,0.0409102283592999,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,115,10,0.0782284341561575,0,NA,NA
"two-step(bic)",0.05,10000,1000,116,10,0.114025166133519,0,1,0
"two-step+refitted",0.05,10000,1000,116,10,0.0734437477192697,0,1,0
"two-step oracle",0.05,10000,1000,116,10,0.0898497990898662,0,NA,NA
"two-step(bic)",0.05,10000,1000,117,10,0.101953543862303,0,1,0
"two-step+refitted",0.05,10000,1000,117,10,0.0906724372003319,0,1,0
"two-step oracle",0.05,10000,1000,117,10,0.0902558494825276,0,NA,NA
"two-step(bic)",0.05,10000,1000,118,10,0.11269260955784,0,1,0
"two-step+refitted",0.05,10000,1000,118,10,0.0709835797327642,0,1,0
"two-step oracle",0.05,10000,1000,118,10,0.074149190210983,0,NA,NA
"two-step(bic)",0.05,10000,1000,119,10,0.0975988882994053,0.0132426071015592,1,0.00202020202020202
"two-step+refitted",0.05,10000,1000,119,10,0.0790827646141252,0.0798954310891284,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,119,10,0.0931328827259926,0,NA,NA
"two-step(bic)",0.05,10000,1000,11,10,0.105687943855861,0,1,0
"two-step+refitted",0.05,10000,1000,11,10,0.0860407803823618,0,1,0
"two-step oracle",0.05,10000,1000,11,10,0.0962905288084969,0,NA,NA
"two-step(bic)",0.05,10000,1000,120,10,0.134618801486989,0.00666531435582444,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,120,10,0.124614854659012,0.0578908867158261,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,120,10,0.126601985287872,0,NA,NA
"two-step(bic)",0.05,10000,1000,121,10,0.0860287133746471,0,1,0
"two-step+refitted",0.05,10000,1000,121,10,0.0620262935532058,0,1,0
"two-step oracle",0.05,10000,1000,121,10,0.0622548441150135,0,NA,NA
"two-step(bic)",0.05,10000,1000,122,10,0.0916235989323394,0,1,0
"two-step+refitted",0.05,10000,1000,122,10,0.0722606453733542,0,1,0
"two-step oracle",0.05,10000,1000,122,10,0.0782981085638343,0,NA,NA
"two-step(bic)",0.05,10000,1000,123,10,0.0891962284609908,0.0123694454812521,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,123,10,0.0767714053564903,0.0606531629206839,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,123,10,0.0771694691870857,0,NA,NA
"two-step(bic)",0.05,10000,1000,124,10,0.0842658291460866,0,1,0
"two-step+refitted",0.05,10000,1000,124,10,0.0531696970679611,0,1,0
"two-step oracle",0.05,10000,1000,124,10,0.0558337425744904,0,NA,NA
"two-step(bic)",0.05,10000,1000,125,10,0.0745014095899576,0,1,0
"two-step+refitted",0.05,10000,1000,125,10,0.0572736307790691,0,1,0
"two-step oracle",0.05,10000,1000,125,10,0.0689508048697337,0,NA,NA
"two-step(bic)",0.05,10000,1000,126,10,0.105872448742483,0.00593865906262262,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,126,10,0.0684016865587087,0.0635473255311057,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,126,10,0.0749937065671764,0,NA,NA
"two-step(bic)",0.05,10000,1000,127,10,0.0973676404339505,0,1,0
"two-step+refitted",0.05,10000,1000,127,10,0.0687613497812083,0,1,0
"two-step oracle",0.05,10000,1000,127,10,0.0725427465484444,0,NA,NA
"two-step(bic)",0.05,10000,1000,128,10,0.105649251798936,0,1,0
"two-step+refitted",0.05,10000,1000,128,10,0.0886151543546921,0,1,0
"two-step oracle",0.05,10000,1000,128,10,0.093438067379367,0,NA,NA
"two-step(bic)",0.05,10000,1000,129,10,0.111474261767785,0,1,0
"two-step+refitted",0.05,10000,1000,129,10,0.114357278634042,0,1,0
"two-step oracle",0.05,10000,1000,129,10,0.113955660889083,0,NA,NA
"two-step(bic)",0.05,10000,1000,12,10,0.120332952629636,0,1,0
"two-step+refitted",0.05,10000,1000,12,10,0.113797784830126,0,1,0
"two-step oracle",0.05,10000,1000,12,10,0.132674292673852,0,NA,NA
"two-step(bic)",0.05,10000,1000,130,10,0.0912821527339599,0,1,0
"two-step+refitted",0.05,10000,1000,130,10,0.0587824953095726,0,1,0
"two-step oracle",0.05,10000,1000,130,10,0.0608093620138763,0,NA,NA
"two-step(bic)",0.05,10000,1000,131,10,0.0798860964380311,0.00679857864753552,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,131,10,0.0697727087310751,0.053702237223043,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,131,10,0.0722166885181666,0,NA,NA
"two-step(bic)",0.05,10000,1000,132,10,0.0861035083690846,0,1,0
"two-step+refitted",0.05,10000,1000,132,10,0.0887071750833229,0,1,0
"two-step oracle",0.05,10000,1000,132,10,0.087930350014515,0,NA,NA
"two-step(bic)",0.05,10000,1000,133,10,0.0750071259412583,0,1,0
"two-step+refitted",0.05,10000,1000,133,10,0.0496186036373154,0,1,0
"two-step oracle",0.05,10000,1000,133,10,0.0528618888696811,0,NA,NA
"two-step(bic)",0.05,10000,1000,134,10,0.0990733018090262,0,1,0
"two-step+refitted",0.05,10000,1000,134,10,0.0705591477351715,0,1,0
"two-step oracle",0.05,10000,1000,134,10,0.0795874051318064,0,NA,NA
"two-step(bic)",0.05,10000,1000,135,10,0.0795173337684909,0,1,0
"two-step+refitted",0.05,10000,1000,135,10,0.0763840956515925,0,1,0
"two-step oracle",0.05,10000,1000,135,10,0.0852644949025434,0,NA,NA
"two-step(bic)",0.05,10000,1000,136,10,0.115052211335917,0,1,0
"two-step+refitted",0.05,10000,1000,136,10,0.104090415899607,0,1,0
"two-step oracle",0.05,10000,1000,136,10,0.13041104488916,0,NA,NA
"two-step(bic)",0.05,10000,1000,137,10,0.0694940955618281,0,1,0
"two-step+refitted",0.05,10000,1000,137,10,0.0541326915609927,0,1,0
"two-step oracle",0.05,10000,1000,137,10,0.0581971651277054,0,NA,NA
"two-step(bic)",0.05,10000,1000,138,10,0.0695750017113989,0.00842292699571211,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,138,10,0.0425523048312627,0.0622829214967197,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,138,10,0.0454461907123044,0,NA,NA
"two-step(bic)",0.05,10000,1000,139,10,0.104049313142956,0.0162561422267946,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,139,10,0.0859829593468533,0.0726843293723,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,139,10,0.0963173443893732,0,NA,NA
"two-step(bic)",0.05,10000,1000,13,10,0.108759722835953,0,1,0
"two-step+refitted",0.05,10000,1000,13,10,0.0535013731087653,0,1,0
"two-step oracle",0.05,10000,1000,13,10,0.0689796425068211,0,NA,NA
"two-step(bic)",0.05,10000,1000,140,10,0.1893303060424,0,1,0
"two-step+refitted",0.05,10000,1000,140,10,0.155639053846606,0,1,0
"two-step oracle",0.05,10000,1000,140,10,0.179536984141024,0,NA,NA
"two-step(bic)",0.05,10000,1000,141,10,0.0896645778364724,0,1,0
"two-step+refitted",0.05,10000,1000,141,10,0.0669830435394758,0,1,0
"two-step oracle",0.05,10000,1000,141,10,0.0778459465794731,0,NA,NA
"two-step(bic)",0.05,10000,1000,142,10,0.0756616053839828,0,1,0
"two-step+refitted",0.05,10000,1000,142,10,0.0711652129909072,0,1,0
"two-step oracle",0.05,10000,1000,142,10,0.0773638057952239,0,NA,NA
"two-step(bic)",0.05,10000,1000,143,10,0.0913995719734431,0,1,0
"two-step+refitted",0.05,10000,1000,143,10,0.0636473957524202,0,1,0
"two-step oracle",0.05,10000,1000,143,10,0.0734501057064104,0,NA,NA
"two-step(bic)",0.05,10000,1000,144,10,0.123448614153034,0,1,0
"two-step+refitted",0.05,10000,1000,144,10,0.097086277369951,0,1,0
"two-step oracle",0.05,10000,1000,144,10,0.113700168396088,0,NA,NA
"two-step(bic)",0.05,10000,1000,145,10,0.0847772851921145,0,1,0
"two-step+refitted",0.05,10000,1000,145,10,0.073667971130903,0,1,0
"two-step oracle",0.05,10000,1000,145,10,0.0865291614716287,0,NA,NA
"two-step(bic)",0.05,10000,1000,146,10,0.0672851814651997,0,1,0
"two-step+refitted",0.05,10000,1000,146,10,0.045147238323795,0,1,0
"two-step oracle",0.05,10000,1000,146,10,0.0596725977316633,0,NA,NA
"two-step(bic)",0.05,10000,1000,147,10,0.0793346298855215,0.0217868396288773,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,147,10,0.0562778344011048,0.0665987728319787,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,147,10,0.0681050065585965,0,NA,NA
"two-step(bic)",0.05,10000,1000,148,10,0.0909939665732434,0,1,0
"two-step+refitted",0.05,10000,1000,148,10,0.0501524772814893,0,1,0
"two-step oracle",0.05,10000,1000,148,10,0.0588961679046325,0,NA,NA
"two-step(bic)",0.05,10000,1000,149,10,0.07572879863357,0,1,0
"two-step+refitted",0.05,10000,1000,149,10,0.0592937383835789,0,1,0
"two-step oracle",0.05,10000,1000,149,10,0.0692131526452043,0,NA,NA
"two-step(bic)",0.05,10000,1000,14,10,0.0800395326396901,0,1,0
"two-step+refitted",0.05,10000,1000,14,10,0.0429670734897516,0,1,0
"two-step oracle",0.05,10000,1000,14,10,0.0504213295609825,0,NA,NA
"two-step(bic)",0.05,10000,1000,150,10,0.126480563347492,0,1,0
"two-step+refitted",0.05,10000,1000,150,10,0.0931403371552558,0,1,0
"two-step oracle",0.05,10000,1000,150,10,0.103046964276267,0,NA,NA
"two-step(bic)",0.05,10000,1000,151,10,0.104566576210151,0,1,0
"two-step+refitted",0.05,10000,1000,151,10,0.087609567983054,0,1,0
"two-step oracle",0.05,10000,1000,151,10,0.0903353368583086,0,NA,NA
"two-step(bic)",0.05,10000,1000,152,10,0.0932348794664314,0,1,0
"two-step+refitted",0.05,10000,1000,152,10,0.0741146045588914,0,1,0
"two-step oracle",0.05,10000,1000,152,10,0.0868429177145873,0,NA,NA
"two-step(bic)",0.05,10000,1000,153,10,0.0749333698267016,0.00737808061339854,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,153,10,0.0676516895722673,0.0617043417341365,1,0.00101010101010101
