"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step",0.05,10000,1000,100,10,0.11902995218685,0.0580311222437993,1,0.0434343434343434
"two-step+refitted",0.05,10000,1000,100,10,0.103029755722477,0.251866231934328,1,0.0434343434343434
"two-step oracle",0.05,10000,1000,100,10,0.111707739902792,0,NA,NA
"two-step",0.05,10000,1000,101,10,0.067026484970728,0.0449728528233342,1,0.0292929292929293
"two-step+refitted",0.05,10000,1000,101,10,0.0634453127201637,0.194960064011461,1,0.0292929292929293
"two-step oracle",0.05,10000,1000,101,10,0.0608722725281936,0,NA,NA
"two-step",0.05,10000,1000,102,10,0.0888177159335691,0.00897355156515866,1,0.00202020202020202
"two-step+refitted",0.05,10000,1000,102,10,0.060054410703707,0.0633510664807676,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,102,10,0.0588678435135168,0,NA,NA
"two-step",0.05,10000,1000,103,10,0.0526441787675348,0.0259379280990779,1,0.0212121212121212
"two-step+refitted",0.05,10000,1000,103,10,0.0577845592666886,0.144195725522133,1,0.0212121212121212
"two-step oracle",0.05,10000,1000,103,10,0.0647030336666211,0,NA,NA
"two-step",0.05,10000,1000,104,10,0.0912531121821551,0.0254164039818604,1,0.0141414141414141
"two-step+refitted",0.05,10000,1000,104,10,0.0740984692868746,0.148175243934859,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,104,10,0.0778039740912499,0,NA,NA
"two-step",0.05,10000,1000,105,10,0.0830722528716022,0.00408323352319718,1,0.00202020202020202
"two-step+refitted",0.05,10000,1000,105,10,0.0722375418194025,0.0545118701475249,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,105,10,0.0768552864229654,0,NA,NA
"two-step",0.05,10000,1000,106,10,0.0907697914043413,0.0573600059633229,1,0.0414141414141414
"two-step+refitted",0.05,10000,1000,106,10,0.0820767931753887,0.226525386969199,1,0.0414141414141414
"two-step oracle",0.05,10000,1000,106,10,0.0754898513598535,0,NA,NA
"two-step",0.05,10000,1000,107,10,0.0932950981371821,0.0205049270756388,1,0.0101010101010101
"two-step+refitted",0.05,10000,1000,107,10,0.0789934359229939,0.139892595912869,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,107,10,0.0848982255152161,0,NA,NA
