"Method","alpha","n","p","seed","s","mul","est_error","est_error_FP","TPR","FPR"
"two-step",0.2,2500,1000,100,10,0.2,0.601037653798412,0,0.5,0
"two-step+refitted",0.2,2500,1000,100,10,0.2,0.425904419226069,0,0.5,0
"two-step oracle",0.2,2500,1000,100,10,0.2,0.467350282912062,0,NA,NA
"two-step",0.2,2500,1000,100,10,0.4,0.19081738452143,0.00460457604488401,1,0.00101010101010101
"two-step+refitted",0.2,2500,1000,100,10,0.4,0.198258864119887,0.157367336365297,1,0.00101010101010101
"two-step oracle",0.2,2500,1000,100,10,0.4,0.189191828394401,0,NA,NA
"two-step",0.2,2500,1000,100,10,0.6,0.104186841452295,0.00587382441635416,1,0.00202020202020202
"two-step+refitted",0.2,2500,1000,100,10,0.6,0.107440952025397,0.115483751547515,1,0.00202020202020202
"two-step oracle",0.2,2500,1000,100,10,0.6,0.10396878828686,0,NA,NA
"two-step",0.2,2500,1000,100,10,0.8,0.0711739143436255,0.0027707142277639,1,0.00101010101010101
"two-step+refitted",0.2,2500,1000,100,10,0.8,0.0744135034239901,0.0590769707451876,1,0.00101010101010101
"two-step oracle",0.2,2500,1000,100,10,0.8,0.0710135135814556,0,NA,NA
"two-step",0.2,2500,1000,100,10,1,0.0538708955750308,0.00225961053884294,1,0.00101010101010101
"two-step+refitted",0.2,2500,1000,100,10,1,0.0563908408748882,0.044770408948719,1,0.00101010101010101
"two-step oracle",0.2,2500,1000,100,10,1,0.0538149445061514,0,NA,NA
"two-step",0.2,2500,1000,101,10,0.2,0.672530519821522,0.632484912937832,0.7,0.0494949494949495
"two-step+refitted",0.2,2500,1000,101,10,0.2,0.914285703778198,2.19331595867209,0.7,0.0494949494949495
"two-step oracle",0.2,2500,1000,101,10,0.2,0.870041218033939,0,NA,NA
"two-step",0.2,2500,1000,101,10,0.4,0.383827594778345,0.242734136494701,1,0.0424242424242424
"two-step+refitted",0.2,2500,1000,101,10,0.4,0.365263170518566,0.866768766145018,1,0.0424242424242424
"two-step oracle",0.2,2500,1000,101,10,0.4,0.352208385951288,0,NA,NA
"two-step",0.2,2500,1000,101,10,0.6,0.210695795215834,0.13731640196469,1,0.0474747474747475
"two-step+refitted",0.2,2500,1000,101,10,0.6,0.197003536918551,0.484866746370796,1,0.0474747474747475
"two-step oracle",0.2,2500,1000,101,10,0.6,0.193553175222178,0,NA,NA
"two-step",0.2,2500,1000,101,10,0.8,0.143590265001714,0.0993665239454553,1,0.0515151515151515
"two-step+refitted",0.2,2500,1000,101,10,0.8,0.137880056835998,0.337051284394844,1,0.0515151515151515
"two-step oracle",0.2,2500,1000,101,10,0.8,0.132202089337137,0,NA,NA
"two-step",0.2,2500,1000,101,10,1,0.109010414749266,0.0716156041608351,1,0.0484848484848485
"two-step+refitted",0.2,2500,1000,101,10,1,0.102425735813084,0.252309365685531,1,0.0484848484848485
"two-step oracle",0.2,2500,1000,101,10,1,0.10018442606864,0,NA,NA
"two-step",0.2,2500,1000,102,10,0.2,0.806049928116703,0.0190202204691322,0.6,0.00101010101010101
"two-step+refitted",0.2,2500,1000,102,10,0.2,0.964070934608886,0.390814034898659,0.6,0.00101010101010101
"two-step oracle",0.2,2500,1000,102,10,0.2,1.17493885537866,0,NA,NA
"two-step",0.2,2500,1000,102,10,0.4,0.44077354801366,0.00560969489878661,1,0.00101010101010101
"two-step+refitted",0.2,2500,1000,102,10,0.4,0.399511155659368,0.156025804118622,1,0.00101010101010101
"two-step oracle",0.2,2500,1000,102,10,0.4,0.475636451775807,0,NA,NA
"two-step",0.2,2500,1000,102,10,0.6,0.241474778845463,0.00476699794223632,1,0.00202020202020202
"two-step+refitted",0.2,2500,1000,102,10,0.6,0.219329988928594,0.117725116503141,1,0.00202020202020202
"two-step oracle",0.2,2500,1000,102,10,0.6,0.261382037352601,0,NA,NA
"two-step",0.2,2500,1000,102,10,0.8,0.165561706546207,0.00186379510222841,1,0.00101010101010101
"two-step+refitted",0.2,2500,1000,102,10,0.8,0.149963699480343,0.0585653363127501,1,0.00101010101010101
"two-step oracle",0.2,2500,1000,102,10,0.8,0.178531049224827,0,NA,NA
"two-step",0.2,2500,1000,102,10,1,0.124031252789788,0.00544772406999092,1,0.00303030303030303
"two-step+refitted",0.2,2500,1000,102,10,1,0.115751613997898,0.0721432814941843,1,0.00303030303030303
"two-step oracle",0.2,2500,1000,102,10,1,0.135293101581839,0,NA,NA
"two-step",0.2,2500,1000,103,10,0.2,0.695758551275179,0,0.3,0
"two-step+refitted",0.2,2500,1000,103,10,0.2,0.743374199329695,0,0.3,0
"two-step oracle",0.2,2500,1000,103,10,0.2,0.4624731363072,0,NA,NA
"two-step",0.2,2500,1000,103,10,0.4,0.281352377655964,0.0269504909845018,1,0.00505050505050505
"two-step+refitted",0.2,2500,1000,103,10,0.4,0.19418070626548,0.363794031382109,1,0.00505050505050505
"two-step oracle",0.2,2500,1000,103,10,0.4,0.187217471435052,0,NA,NA
"two-step",0.2,2500,1000,103,10,0.6,0.152892212172914,0.0184499034404829,1,0.00707070707070707
"two-step+refitted",0.2,2500,1000,103,10,0.6,0.106307283002516,0.224382871855655,1,0.00707070707070707
"two-step oracle",0.2,2500,1000,103,10,0.6,0.102883796918833,0,NA,NA
"two-step",0.2,2500,1000,103,10,0.8,0.105706760613214,0.00991610393545323,1,0.00505050505050505
"two-step+refitted",0.2,2500,1000,103,10,0.8,0.0728846327754459,0.136541210772198,1,0.00505050505050505
"two-step oracle",0.2,2500,1000,103,10,0.8,0.0702724349316117,0,NA,NA
"two-step",0.2,2500,1000,103,10,1,0.0803028157152208,0.00715199922052389,1,0.00505050505050505
"two-step+refitted",0.2,2500,1000,103,10,1,0.0552342385663114,0.103474196029961,1,0.00505050505050505
"two-step oracle",0.2,2500,1000,103,10,1,0.0532533456722882,0,NA,NA
"two-step",0.2,2500,1000,104,10,0.2,0.906479617429576,0.018245649817825,0.2,0.00101010101010101
"two-step+refitted",0.2,2500,1000,104,10,0.2,1.01216994912853,0.523582719227591,0.2,0.00101010101010101
"two-step oracle",0.2,2500,1000,104,10,0.2,0.943303100943627,0,NA,NA
"two-step",0.2,2500,1000,104,10,0.4,0.445387560702505,0.0794061803253428,1,0.0111111111111111
"two-step+refitted",0.2,2500,1000,104,10,0.4,0.381560044321739,0.575146008732696,1,0.0111111111111111
"two-step oracle",0.2,2500,1000,104,10,0.4,0.381866118247786,0,NA,NA
"two-step",0.2,2500,1000,104,10,0.6,0.244536380740251,0.0440392519286446,1,0.0111111111111111
"two-step+refitted",0.2,2500,1000,104,10,0.6,0.209576144768103,0.316057986506208,1,0.0111111111111111
"two-step oracle",0.2,2500,1000,104,10,0.6,0.209851334166844,0,NA,NA
"two-step",0.2,2500,1000,104,10,0.8,0.167250728866112,0.029225026625968,1,0.0111111111111111
"two-step+refitted",0.2,2500,1000,104,10,0.8,0.143152410796856,0.215874573792894,1,0.0111111111111111
"two-step oracle",0.2,2500,1000,104,10,0.8,0.143334175712682,0,NA,NA
"two-step",0.2,2500,1000,104,10,1,0.127118636973638,0.0206792410325041,1,0.0111111111111111
"two-step+refitted",0.2,2500,1000,104,10,1,0.108486319774312,0.163593669817058,1,0.0111111111111111
"two-step oracle",0.2,2500,1000,104,10,1,0.108620462821703,0,NA,NA
"two-step",0.2,2500,1000,105,10,0.2,0.690646034129987,0.164242856608687,0.5,0.00909090909090909
"two-step+refitted",0.2,2500,1000,105,10,0.2,0.656151287215171,1.24682191031018,0.5,0.00909090909090909
"two-step oracle",0.2,2500,1000,105,10,0.2,0.375733238461913,0,NA,NA
"two-step",0.2,2500,1000,105,10,0.4,0.248786478184062,0.1134129164509,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,105,10,0.4,0.188197545844369,0.62339023639526,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,105,10,0.4,0.15210359546639,0,NA,NA
"two-step",0.2,2500,1000,105,10,0.6,0.135807922781851,0.0655456368997741,1,0.0212121212121212
"two-step+refitted",0.2,2500,1000,105,10,0.6,0.100894600475506,0.350642320995593,1,0.0212121212121212
"two-step oracle",0.2,2500,1000,105,10,0.6,0.0835872598141427,0,NA,NA
"two-step",0.2,2500,1000,105,10,0.8,0.0933305714311199,0.0425257586463306,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,105,10,0.8,0.0706480776747356,0.233990663211559,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,105,10,0.8,0.0570923746237252,0,NA,NA
"two-step",0.2,2500,1000,105,10,1,0.0706852096548014,0.0323699683841076,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,105,10,1,0.0535384583428175,0.177319972673459,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,105,10,1,0.043265328205117,0,NA,NA
"two-step",0.2,2500,1000,106,10,0.2,0.578554497464086,0.0224828593297679,0.5,0.00202020202020202
