"Method","alpha","n","p","seed","s","mul","est_error","est_error_FP","TPR","FPR"
"two-step",0.2,2500,1000,100,10,0.2,0.857098504046149,0.34733937019497,0.3,0.0161616161616162
"two-step+refitted",0.2,2500,1000,100,10,0.2,0.708682704105118,1.37955847291391,0.3,0.0161616161616162
"two-step oracle",0.2,2500,1000,100,10,0.2,0.623936626111539,0,NA,NA
"two-step",0.2,2500,1000,100,10,0.4,0.362994748005879,0.200533757482973,1,0.0343434343434343
"two-step+refitted",0.2,2500,1000,100,10,0.4,0.293894617668107,0.694132887067936,1,0.0343434343434343
"two-step oracle",0.2,2500,1000,100,10,0.4,0.252580805901613,0,NA,NA
"two-step",0.2,2500,1000,100,10,0.6,0.201189993423257,0.106820302098218,1,0.0303030303030303
"two-step+refitted",0.2,2500,1000,100,10,0.6,0.159055501785348,0.363173253385021,1,0.0303030303030303
"two-step oracle",0.2,2500,1000,100,10,0.6,0.138803671157322,0,NA,NA
"two-step",0.2,2500,1000,100,10,0.8,0.136707573632814,0.0743472729130151,1,0.0333333333333333
"two-step+refitted",0.2,2500,1000,100,10,0.8,0.110187017718059,0.25983397778449,1,0.0333333333333333
"two-step oracle",0.2,2500,1000,100,10,0.8,0.0948066871731746,0,NA,NA
"two-step",0.2,2500,1000,100,10,1,0.102860850878173,0.0578575555461677,1,0.0373737373737374
"two-step+refitted",0.2,2500,1000,100,10,1,0.083912209283268,0.204744112095221,1,0.0373737373737374
"two-step oracle",0.2,2500,1000,100,10,1,0.0718457143116058,0,NA,NA
"two-step",0.2,2500,1000,101,10,0.2,1,0.0498294364088447,0,0.00202020202020202
"two-step+refitted",0.2,2500,1000,101,10,0.2,1,0.675308814696498,0,0.00202020202020202
"two-step oracle",0.2,2500,1000,101,10,0.2,0.277602569562474,0,NA,NA
"two-step",0.2,2500,1000,101,10,0.4,0.490002013914321,0.179241552795257,1,0.0333333333333333
"two-step+refitted",0.2,2500,1000,101,10,0.4,0.204829380866974,0.733658753239131,1,0.0333333333333333
"two-step oracle",0.2,2500,1000,101,10,0.4,0.112378529815487,0,NA,NA
"two-step",0.2,2500,1000,101,10,0.6,0.265650084559533,0.10436620252832,1,0.0363636363636364
"two-step+refitted",0.2,2500,1000,101,10,0.6,0.114001457559786,0.414183280930676,1,0.0363636363636364
"two-step oracle",0.2,2500,1000,101,10,0.6,0.0617566819536104,0,NA,NA
"two-step",0.2,2500,1000,101,10,0.8,0.178163554037559,0.0768007556356024,1,0.0383838383838384
"two-step+refitted",0.2,2500,1000,101,10,0.8,0.0787001490651413,0.287316049101839,1,0.0383838383838384
"two-step oracle",0.2,2500,1000,101,10,0.8,0.0421814954749437,0,NA,NA
"two-step",0.2,2500,1000,101,10,1,0.136847472214098,0.0551012724522084,1,0.0363636363636364
"two-step+refitted",0.2,2500,1000,101,10,1,0.0590079127886622,0.214384391128088,1,0.0363636363636364
"two-step oracle",0.2,2500,1000,101,10,1,0.031965674189142,0,NA,NA
"two-step",0.2,2500,1000,102,10,0.2,0.812172444852506,0.138276139829708,0.7,0.00404040404040404
"two-step+refitted",0.2,2500,1000,102,10,0.2,0.523687585366889,0.814137428476436,0.7,0.00404040404040404
"two-step oracle",0.2,2500,1000,102,10,0.2,0.593045474993205,0,NA,NA
"two-step",0.2,2500,1000,102,10,0.4,0.474751148411548,0.0679093902403374,1,0.00707070707070707
"two-step+refitted",0.2,2500,1000,102,10,0.4,0.204440278812491,0.38977956492557,1,0.00707070707070707
"two-step oracle",0.2,2500,1000,102,10,0.4,0.240075510462678,0,NA,NA
"two-step",0.2,2500,1000,102,10,0.6,0.270645632176149,0.0305006297435534,1,0.00505050505050505
"two-step+refitted",0.2,2500,1000,102,10,0.6,0.111147358896539,0.195568298551658,1,0.00505050505050505
"two-step oracle",0.2,2500,1000,102,10,0.6,0.131931490551063,0,NA,NA
"two-step",0.2,2500,1000,102,10,0.8,0.17783698130996,0.025747741503981,1,0.00808080808080808
"two-step+refitted",0.2,2500,1000,102,10,0.8,0.0757047439924822,0.153170910447698,1,0.00808080808080808
"two-step oracle",0.2,2500,1000,102,10,0.8,0.0901128006822535,0,NA,NA
"two-step",0.2,2500,1000,102,10,1,0.136143107425331,0.0185235325732403,1,0.00606060606060606
"two-step+refitted",0.2,2500,1000,102,10,1,0.0582858724642241,0.105840822891738,1,0.00606060606060606
"two-step oracle",0.2,2500,1000,102,10,1,0.0682886273814186,0,NA,NA
"two-step",0.2,2500,1000,103,10,0.2,0.846365010231051,0.469997289551717,0.3,0.0343434343434343
"two-step+refitted",0.2,2500,1000,103,10,0.2,0.701130876943012,2.07431192991507,0.3,0.0343434343434343
"two-step oracle",0.2,2500,1000,103,10,0.2,0.438417630336001,0,NA,NA
"two-step",0.2,2500,1000,103,10,0.4,0.342805120044434,0.243726503816988,1,0.0565656565656566
"two-step+refitted",0.2,2500,1000,103,10,0.4,0.213333175201684,0.959623343838115,1,0.0565656565656566
"two-step oracle",0.2,2500,1000,103,10,0.4,0.177479368508728,0,NA,NA
"two-step",0.2,2500,1000,103,10,0.6,0.181538613775046,0.147644342237782,1,0.0636363636363636
"two-step+refitted",0.2,2500,1000,103,10,0.6,0.114763279017636,0.543935561325131,1,0.0636363636363636
"two-step oracle",0.2,2500,1000,103,10,0.6,0.0975323038334544,0,NA,NA
"two-step",0.2,2500,1000,103,10,0.8,0.124267954439911,0.100272185326146,1,0.0636363636363636
"two-step+refitted",0.2,2500,1000,103,10,0.8,0.0783863734095907,0.371522356059213,1,0.0636363636363636
"two-step oracle",0.2,2500,1000,103,10,0.8,0.0666172194274098,0,NA,NA
"two-step",0.2,2500,1000,103,10,1,0.0936279033235469,0.0771311374867062,1,0.0636363636363636
"two-step+refitted",0.2,2500,1000,103,10,1,0.0594022535066865,0.281544752564708,1,0.0636363636363636
"two-step oracle",0.2,2500,1000,103,10,1,0.0504833768368331,0,NA,NA
"two-step",0.2,2500,1000,104,10,0.2,0.827438468435207,0.239154459014119,0.4,0.0232323232323232
"two-step+refitted",0.2,2500,1000,104,10,0.2,0.833320366268436,1.93917285081871,0.4,0.0232323232323232
"two-step oracle",0.2,2500,1000,104,10,0.2,0.662168294486454,0,NA,NA
"two-step",0.2,2500,1000,104,10,0.4,0.514005720051213,0.149712045094474,0.9,0.0323232323232323
"two-step+refitted",0.2,2500,1000,104,10,0.4,0.320079049574214,0.844013859608154,0.9,0.0323232323232323
"two-step oracle",0.2,2500,1000,104,10,0.4,0.268057675194063,0,NA,NA
"two-step",0.2,2500,1000,104,10,0.6,0.306569442358108,0.0730640057803808,1,0.0282828282828283
"two-step+refitted",0.2,2500,1000,104,10,0.6,0.141356658292687,0.443481232885449,1,0.0282828282828283
"two-step oracle",0.2,2500,1000,104,10,0.6,0.14730885534242,0,NA,NA
"two-step",0.2,2500,1000,104,10,0.8,0.201671134160256,0.0620984281332277,1,0.0343434343434343
"two-step+refitted",0.2,2500,1000,104,10,0.8,0.0934572108769761,0.327018923610679,1,0.0343434343434343
"two-step oracle",0.2,2500,1000,104,10,0.8,0.100615959576877,0,NA,NA
"two-step",0.2,2500,1000,104,10,1,0.153879750460745,0.045309064830122,1,0.0343434343434343
"two-step+refitted",0.2,2500,1000,104,10,1,0.0708230936202042,0.247818993800818,1,0.0343434343434343
"two-step oracle",0.2,2500,1000,104,10,1,0.0762480548839767,0,NA,NA
"two-step",0.2,2500,1000,105,10,0.2,0.919778470883451,0.120063098511293,0.2,0.00404040404040404
"two-step+refitted",0.2,2500,1000,105,10,0.2,0.80795440831139,0.88868596544892,0.2,0.00404040404040404
"two-step oracle",0.2,2500,1000,105,10,0.2,0.501312206261643,0,NA,NA
"two-step",0.2,2500,1000,105,10,0.4,0.442673367717269,0.20508106303364,1,0.0505050505050505
