"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step",0.05,10000,1000,100,10,0.120822766779746,0.0848113242830706,1,0.0696969696969697
"two-step+refitted",0.05,10000,1000,100,10,0.0414337677670373,0.332774162809757,1,0.0696969696969697
"two-step oracle",0.05,10000,1000,100,10,0.0353211795966203,0,NA,NA
"two-step",0.05,10000,1000,101,10,0.148803943298275,0.0501667756134921,1,0.0383838383838384
"two-step+refitted",0.05,10000,1000,101,10,0.0645458012439706,0.270909127173447,1,0.0383838383838384
"two-step oracle",0.05,10000,1000,101,10,0.0530818563504207,0,NA,NA
"two-step",0.05,10000,1000,102,10,0.138755528981732,0.102305700530703,1,0.0767676767676768
"two-step+refitted",0.05,10000,1000,102,10,0.0558247577653987,0.370591040776488,1,0.0767676767676768
"two-step oracle",0.05,10000,1000,102,10,0.0396588565676829,0,NA,NA
"two-step",0.05,10000,1000,103,10,0.136096664240747,0.0441938595347544,1,0.0292929292929293
"two-step+refitted",0.05,10000,1000,103,10,0.0498601969762146,0.250028542734609,1,0.0292929292929293
"two-step oracle",0.05,10000,1000,103,10,0.0574434047772945,0,NA,NA
"two-step",0.05,10000,1000,104,10,0.177659500815155,0.044487543469987,1,0.0313131313131313
"two-step+refitted",0.05,10000,1000,104,10,0.0742594599898038,0.255883877025574,1,0.0313131313131313
"two-step oracle",0.05,10000,1000,104,10,0.0603368939836957,0,NA,NA
"two-step",0.05,10000,1000,105,10,0.159814600726845,0.0325613663751431,1,0.0232323232323232
"two-step+refitted",0.05,10000,1000,105,10,0.0749294500443623,0.205543284531548,1,0.0232323232323232
"two-step oracle",0.05,10000,1000,105,10,0.0759885447927841,0,NA,NA
"two-step",0.05,10000,1000,106,10,0.135114463650902,0.0500460027407955,1,0.0414141414141414
"two-step+refitted",0.05,10000,1000,106,10,0.0377396878326055,0.276284252700547,1,0.0414141414141414
"two-step oracle",0.05,10000,1000,106,10,0.0343775285246928,0,NA,NA
"two-step",0.05,10000,1000,107,10,0.106206083125518,0.121941202098253,1,0.0939393939393939
"two-step+refitted",0.05,10000,1000,107,10,0.040869427368049,0.407800494139061,1,0.0939393939393939
"two-step oracle",0.05,10000,1000,107,10,0.0452291424716427,0,NA,NA
